plate	well	response	type	spl
2	92	0.258117	1	184
2	91	0.362062	1	183
2	88	0.307483	1	180
2	85	0.428674	1	177
2	82	0.264262	1	174
2	81	0.481396	1	173
2	77	0.265616	1	169
2	73	0.27454	1	165
2	71	0.377562	1	163
2	70	0.547432	1	162
2	69	0.275717	1	161
2	66	0.384568	1	158
2	65	0.259073	1	157
2	64	0.269089	1	156
2	58	0.299889	1	150
2	51	0.295106	1	143
2	49	0.412135	1	141
2	47	0.421733	1	139
2	45	0.274697	1	137
2	43	0.461546	1	135
2	42	0.610579	1	134
2	41	0.385131	1	133
2	40	0.364628	1	132
2	37	0.445045	1	129
2	36	0.297075	1	128
2	35	0.283708	1	127
2	34	0.279879	1	126
2	31	0.311151	1	123
2	29	0.273992	1	121
2	25	0.350001	1	117
2	24	0.620815	1	116
2	17	0.488242	1	109
2	16	0.301375	1	108
2	15	0.420961	1	107
2	14	0.403715	1	106
2	12	0.293154	1	104
2	11	0.436205	1	103
2	10	0.35427	1	102
2	9	0.550398	1	101
2	7	0.364408	1	99
2	6	0.2609	1	98
2	5	0.307319	1	97
2	4	0.347537	1	96
2	3	0.341747	1	95
2	2	0.342454	1	94
2	1	0.38081	1	93
1	88	0.411902	1	88
1	84	0.27676	1	84
1	82	0.401411	1	82
1	80	0.560004	1	80
1	76	0.257126	1	76
1	75	0.304977	1	75
1	71	0.37914	1	71
1	67	0.361125	1	67
1	64	0.667752	1	64
1	62	0.63527	1	62
1	61	0.319703	1	61
1	59	0.269546	1	59
1	55	0.454806	1	55
1	50	0.531854	1	50
1	49	0.312473	1	49
1	47	0.58221	1	47
1	43	0.511963	1	43
1	41	0.35336	1	41
1	39	0.299774	1	39
1	36	0.420702	1	36
1	35	0.343746	1	35
1	33	0.268085	1	33
1	31	0.582191	1	31
1	30	0.657203	1	30
1	27	0.605312	1	27
1	26	0.293436	1	26
1	24	0.416333	1	24
1	20	0.559099	1	20
1	19	0.499922	1	19
1	17	0.327586	1	17
1	16	0.342149	1	16
1	12	0.270089	1	12
1	10	0.334272	1	10
1	9	0.400817	1	9
1	7	0.36973	1	7
1	6	0.502961	1	6
1	5	0.658813	1	5
